"","CC.Line","Animal_ID","Block","Freezer.days","Blaze","weight.change","log.spleen.CFU","log.spleen.CEQ","log.lung.CFU","log.lung.CEQ","Eotaxin","GCSF","GMCSF","IFNy","IL1a","IL1B","IL2","IL5","IL6","IL7","IL9","IL10","IL12_p40","IL12_p70","IL15","IL17","IP10","KC","LIF","LIX","MCP1","MCSF","MIG","MIP1a","MIP1b","MIP2","RANTES","TNFa","VEGF"
"1","129s1.SvImJ","129Su/mj-1",1,0,0,5.436,6.033,6.715,6.325,5.982,0.193124598354462,0.309630167425899,-0.119186407719209,1.29578694025161,2.14382639083956,2.13506901382345,0.436162647040756,-1.52287874528034,0.773054693364263,-2,0.887617300335736,-0.853871964321762,-0.638272163982407,-0.0506099933550872,-0.537602002101044,-2,1.73166933182864,1.99197879099458,0.267171728403014,2.4750170755178,1.18554215485438,0.346352974450639,2.72226362737262,1.82736927305383,1.72139837552151,1.84404204204102,0.462397997898956,1.27323283404305,0.367355921026019
"2","129s1.SvImJ","129Su/mj-2",1,0,0,-1.635,6.033,5.686,6.049,6.594,0.64738297011462,0.990782691803138,0.383815365980431,1.19061179781361,2.55513073908001,1.90552604843505,1.02160271602824,-0.236572006437063,0.912222056532416,-0.0222763947111523,1.98993901328454,-0.0132282657337552,-0.638272163982407,0.577491799837225,-0.537602002101044,0.720985744153739,1.79989168465687,2.60379370413696,0.638489256954637,2.38847420763095,1.62211036036122,-0.00436480540245009,2.73121796600748,1.95961371107104,2.05234759922466,2.28232749923853,0.666517980554881,1.44839710345777,0.354108439147401
"3","129s1.SvImJ","129Su/mj-3",1,0,0,-7.204,6.763,6.396,6.041,5.892,0.462397997898956,0.100370545117563,-0.119186407719209,1.43472854177976,2.26876512744786,2.08870296035147,0.250420002308894,-1.52287874528034,0.69810054562339,-2,1.56761444273084,-0.853871964321762,-0.638272163982407,-0.508638306165727,-0.537602002101044,-0.42021640338319,1.95616843047536,2.16990944190107,0.190331698170291,2.3567713616696,1.51917146382166,0.346352974450639,2.90518582132612,1.74004672405149,1.82872432713879,1.79483645781456,0.771587480881255,1.41995574848976,0.419955748489758
"4","A.J","A/J-1",1,0,0,-29.6,5.428,5.912,7.857,8.489,0.707570176097936,2.12492787911053,1.24526583945746,2.6959192528314,2.68318217109745,2.43104194533589,0.999565488225982,-0.619788758288394,2.50000306805169,-2,1.77342072329061,0.783188691075258,-0.638272163982407,0.418301291319745,-0.537602002101044,0.20682587603185,2.11836394426344,2.94131262536066,1.51348395670426,2.24368280735719,2.55231528451061,1.33725953975028,3.03917211602383,2.8027600465102,2.44619531301464,3.62259011042908,1.44279322593977,2.00919585351952,0.499687082618404
"5","A.J","A/J-2",1,0,0,-30,6.338,NA,7.21,8.053,0.934498451243568,1.44247976906445,1.08742645703629,3.02585453231781,2.73284390591692,2.35418529862586,0.492760389026837,-0.337242168318426,1.96156346236207,-0.0222763947111523,1.90444504107691,0.57287160220048,-0.638272163982407,1.65581049449525,-0.537602002101044,-0.1249387366083,2.32727717714175,2.85419669516003,1.2135177569963,2.48139962691983,2.60017759406901,1.31111784266251,3.12333540548721,2.6896994596406,2.43838410703471,3.27289239526715,1.26997967664532,2.05203950700147,-0.0268721464003014
"6","C57BL.6J","C57BL/6-1",2,0,0,NA,4.477,6.618,5.705,5.303,1.01828430842653,0.334453751150931,-0.119186407719209,1.45591024038274,1.78046133286172,1.33585891131982,0.517195897949974,-1.52287874528034,0.324282455297693,-2,1.62065647981962,-0.853871964321762,-0.638272163982407,0.164352855784437,-0.537602002101044,-0.698970004336019,1.87575557925805,1.62828673108951,-0.0861861476162833,2.78939736735631,1.60895369927586,-0.00436480540245009,2.65152029823422,1.32056168019524,0.271841606536499,1.73439974252057,1.73743120051458,0.719331286983727,0.45178643552429
"7","C57BL.6J","C57BL/6-2",2,0,0,5.12,6.38,7.043,5.966,5.963,0.884795363948981,-0.0362121726544447,0.716837723299524,1.18184358794477,1.87972649663958,1.00945089579869,1.30856441356124,0.621176281775035,0.423245873936808,-0.318758762624413,1.90993025975283,0.737192642704737,1.02612451674545,-0.508638306165727,0.955687750313506,-0.113509274827518,1.29841638006129,1.68493508264089,0.0863598306747482,2.80404397250819,1.40260524191991,0.309630167425899,2.5101292826219,1.13735411137073,0.951823035315912,2.02160271602824,1.75319991419942,0.719331286983727,0.842609239610562
"8","C57BL.6J","C57BL/6-3",2,0,0,8.583,6.965,6.38,5.618,5.853,0.916980047320382,0.117271295655764,0.912222056532416,1.40277706961035,2.02114793572099,1.65137494391304,1.24748226067705,-1.09691001300806,0.40823996531185,0.65991620006985,1.92737036303902,0.687528961214634,1.19312459835446,0.505149978319906,0.879095879500073,-0.42021640338319,1.58251788360406,1.71155416825017,0.243038048686294,2.63966574815517,1.73247417728119,0.453318340047038,2.71052353253156,1.3285834497142,1.09656243837414,2.07587529525983,1.5556988947189,0.642464520242121,0.565847818673518
"9","C57BL.6J","C57BL/6-1.1",3,0,0,8.163,5.672,6.164,5.419,5.478,1.74585519517373,0.593286067020457,0.629409599102719,1.86462972454551,2.29214526781412,1.54195347445824,0.843232778098009,0.877946951629188,1.05576046468773,-0.318758762624413,1.7814681428418,0.633468455579587,0.827369273053825,-0.508638306165727,0.505149978319906,0.0293837776852097,2.02974891856684,2.51333748077036,0.515873843711679,2.5913095245845,2.08177922676753,1.25042000230889,2.97486616813139,1.79140991566716,1.89103541531531,2.05918461763137,2.22796379146686,1.31048089146268,0.428134794028789
"10","C57BL.6J","C57BL/6-2.1",3,0,0,1.196,6.562,7.589,5.765,6.1,1.23527587668705,0.187520720836463,0.181843587944773,1.43136376415899,1.87972649663958,1.35774432518038,0.782472624166286,-1,0.0334237554869497,-2,2.39922362152727,-0.508638306165727,0.217483944213906,-0.508638306165727,-0.537602002101044,-0.481486060122112,1.87256414309065,1.61384182187607,0.161368002234975,2.56990036268471,1.44529276942597,0.583198773968623,2.76189026806868,1.61531865661148,1.36958689073634,1.55750720190566,1.93535609294557,0.456366033129043,0.434568904034199
"11","C57BL.6J","C57BL/6-3.1",3,0,0,2.688,6.734,6.877,6.039,6.318,0.790988475088816,-0.0362121726544447,-0.119186407719209,1.23223352111473,1.66332393362821,1.52840243795362,0.59659709562646,-1.52287874528034,-0.173925197299174,-2,1.78731875662455,-0.0132282657337552,-0.638272163982407,0.164352855784437,-0.537602002101044,-0.508638306165727,1.59813364581324,1.41995574848976,0.0334237554869497,2.33443364445948,1.30102999566398,0.0969100130080564,2.71717935614411,0.73559889969818,1.32221929473392,1.79483645781456,1.95002390652333,0.88024177589548,0.716003343634799
"12","Cast.EiJ","CAST/Ei-1",1,0,0,-11.064,6.914,6.423,7.121,7.295,0.264817823009536,0.100370545117563,0.716837723299524,0.893206753059848,2.26299658160149,1.80427576712909,0.782472624166286,-0.823908740944319,0.866287339084195,-2,1.80611211016909,0.0569048513364726,-0.638272163982407,-0.508638306165727,0.2405492482826,0.0492180226701817,1.99830294009854,2.36724407113523,0.418301291319745,2.68265040578146,1.72770388368535,0.517195897949974,2.77116841606338,2.00008685021165,1.80665472399186,2.5023998050071,0.214843848047698,1.16136800223497,0.257678574869184
